"Title","Body","Date","Tags","Program","Story Type"
"Building a Safer City","<p>Last Monday, we received news from Washington, DC that yet another horrifying act of gun violence robbed innocent Americans of their lives. Tragedies like the incident at the Washington Navy Yard make our hearts heavy, and our deepest sympathies go out to the loved ones of those we lost. Events like these should be few and far between, but as mayor of a major American city, I know that gun violence rocks our communities far too often.</p><p> Last week, I joined Marylanders to Prevent Gun Violence to stand in support of the Firearms Safety Act of 2013, which will go into effect on October 1. It is important to me that I stand in support of the safety of our communities, not just as mayor, but also in most important position I will ever hold—as a mom. My heart aches for every mother who has ever experienced the tragedy of losing a child to violence. I do not want to lose any more of our children to senseless violence.</p><p> I want to share with you a few of the programs in place here in Baltimore that help prevent and reduce gun violence in our city.</p><p> The Youth Diversion Program targets youth with no significant delinquency or criminal history who are arrested for misdemeanor offenses. The program provides diversion options such as teen court, community conferencing, aggression replacement, substance abuse treatment, and mental health treatment as alternatives to the juvenile justice system. The Youth Diversion Program is important because it diverts vulnerable youth away from the formal justice system while holding them accountable for their actions.</p><p> Through the High-risk Youth Prevention and Enforcement (HYPE) program, the Mayor’s Office on Criminal Justice coordinates local and state stakeholders—focusing specifically on the most high-risk youth—to identify policing, prosecution, and service strategies to prevent and reduce violence. Recently, HYPE addressed a sharp rise in juvenile-involved robberies and sprang into action. Through a collaborative effort, we learned that the increase was related to a growing school-based gang and its recruiting practices. Through targeted curfew checks, home visits, and increased neighborhood patrols, we were able to significantly decrease youth-related robberies.</p><p> Operation Safe Kids aims to prevent youth from becoming victims or perpetrators of violent crimes by ensuring they have the tools they need to become productive adults, and by providing intensive, community-based case management and monitoring of high-risk youth offenders. The program also includes services for reentry youth to ease the transition from long-term out-of-home placement back into the community.</p><p> Safe Streets Baltimore, a community mobilization and outreach program to combat gun violence, has five core components: community coalition building, street outreach to at-risk youth, public education, clergy involvement, and law enforcement collaboration. Safe Streets targets high-risk youth aged 14 – 25 through outreach and service connection. It also targets the community as a whole through mobilization and media campaigns. Through a strong street outreach component including neighborhood canvassing, the program focuses on connecting with high-risk youth and young adults during evenings and weekends to link them to services and diffuse potentially harmful situations.</p><p> Thanks to efforts like these, Baltimore City has seen a significant decline in youth arrests since 2010, and we are on-pace to see those numbers continue to fall.</p><p> I have set a goal to grow Baltimore by 10,000 families over the next decade. But reducing crime, increasing economic opportunity, and improving the quality of life in our city are goals that require strong partnerships between citizens, law enforcement, and city government. As we work together toward our shared vision, I know that we can build a better Baltimore.</p>","9/23/2013","Safer Streets, Rawlings-Blake Review","Safer Streets","The Rawlings-Blake Review"
"Transit for a Growing Economy","<p>Last Wednesday, I joined Governor Martin O’Malley, Lt. Governor Anthony Brown, and Congressman Elijah Cummings to announce nearly $1.5 billion in transportation investments for the Baltimore Metropolitan Region. Among other things, these funds will support operation of the Charm City Circulator, improve existing MARC commuter service and add weekend service, provide for upgrades to the Metro rail car fleet and signaling systems, and prove our commitment to the construction of the Baltimore Red Line.</p><p> This $1.5 investment in building a world class transit system will support more than 13,000 jobs—including 4,500 construction jobs and 200 permanent jobs associated with the Red Line alone. And the Red Line will not only create jobs, it will also give Baltimore residents greater access to jobs and more options for getting to and from work—wherever they work. The Red Line, in conjunction with Baltimore’s existing public transit options, will provide a convenient, efficient way to crisscross the region without the burden of driving through traffic or enduring a long commute.</p><p> When completed, the Red Line will connect major job centers in two of Maryland’s major jurisdictions: Medicare/Medicaid in western Baltimore County and Johns Hopkins Bayview Medical Center in East Baltimore. It will also finally connect the metro, light rail, bus system, and MARC trains to create the most comprehensive transportation system Baltimore has ever seen.</p><p> Last week’s announcement is a great example of how state, local, and federal governments can work together to improve the quality of life in Baltimore. I look forward to having a cohesive transit system that will help residents reduce commute times, avoid gridlock, decrease their carbon footprint, and—most important—spend more time with their families.</p>","9/9/2013","Innovative Government, Growing Economy, Rawlings-Blake Review","Innovative Government, Growing Economy","The Rawlings-Blake Review"
"Uniting for Change","<p>Fifty years ago, our nation saw a day like no other in its history—a day when Americans of every age, creed, and color came together to push for their dream of equality for all. I am humbled and inspired by those hearts, minds, and souls that demanded equality and change on that historic day in August.</p><p> This week, as we have commemorated the 50th anniversary of the March on Washington for Jobs and Freedom, we have taken time to remember all that it stood for. We have reflected upon the progress that has been made over the past 5 decades—and the sacrifice, dedication, and cooperation it has taken to get us where we are now.</p><p> We owe so much to the hundreds of thousands of courageous and passionate citizens who convened in Washington 50 years ago. They proved without a doubt that when we are united for change, we can accomplish great things. We can reach our dreams.</p><p> Today, the torch has been passed to us—let’s keep it lit. It is our duty to keep the spirit of those marchers alive and to build on their dream of equality for all. It is our time.</p><p> We must keep marching.</p>","8/30/2013","Stronger Neighborhoods, Rawlings-Blake Review","Stronger Neighborhoods","The Rawlings-Blake Review"
"Moving Forward Together","<p>Earlier this week, the City of Baltimore reached a contract agreement with the two unions representing employees of the Baltimore City Fire Department (BCFD)—Baltimore Firefighters IAFF Local 734 and the Baltimore Fire Officers Association IAFF Local 964. The new contract, which was voted on and overwhelmingly approved by members of the unions, includes increased salaries, a modified shift structure, and guarantees no layoffs or demotions as a result of the contract.</p><p> Under the new three-year agreement, BCFD employees will receive a 2% pay raise for FY13. Then on January 1, 2014, fire suppression personnel will receive an additional 14.5% raise, and EMS and other personnel will receive a 4% raise. Additionally, the longevity raises that firefighters receive at 20 and 25 years will be increased to 5%, up from the current 4% raise.</p><p> The contract also outlines a new shift structure for fire suppression personnel, more in line with practices found in other major U.S. cities. The modified structure calls for a 12.5% increase in hours worked. Under the new schedule, fire suppression personnel will be on-duty for 24 hours, off-duty for the next 24 hours, and on-duty for the subsequent 24 hours. This scheduling model requires only 103 scheduled appearances yearly—79 fewer than the current schedule.</p><p> This new contract aligns closely with the city’s ten-year financial plan, Change to Grow, which calls for a bold set of major reforms to confront a $750 million structural deficit and to grow Baltimore.</p><p> Acting Fire Chief Jeffrey R. Segal said of the contract, “These changes will save the city millions of dollars and prevent possible layoffs. The contract is the result of good-faith negotiations between city officials, fire department management, and union leadership.”</p><p> And I couldn’t agree more. Baltimore’s firefighters are the best in America, and we are all deeply grateful for their hard work and bravery. This contract—with a new schedule and significantly increased pay—will allow our fire department to maintain its high standard of emergency services for our city. I am appreciative that the members of the department acknowledge the importance of long-term fiscal stability for our city and have courageously voted to make changes that will benefit all.</p>","8/23/2013","Innovative Government, Rawlings-Blake Review","Innovative Government","The Rawlings-Blake Review"
"A Fresh Start","<p>It’s that time of year again—back to school time. It’s a a great opportunity for a fresh start, as kids all over the city begin a new school year. I want to help students, parents, and guardians start the school year on the right track, and I invite you to join me tomorrow at my annual Back-to-School Rally.</p><p> In addition to live entertainment and exciting speakers, the annual Back-to-School Rally provides many of the resources that students need to be successful as they return to school. I am thrilled that each year, we can host a fun and exciting event that ensures that our kids are able to have a great school year. I will be joined by Konan of 92Q, Baltimore Ravens mascot Poe, and other special surprise guests, and the rally is definitely going to be a lot of fun.</p><p> School-aged children can receive backpacks, vaccinations, and school supplies, while they last. The rally will also feature exhibitors, city agencies, and various organizations offering valuable information and resources. Attendees will receive a “hall pass” when they arrive and can get a stamp on their hall pass by talking to exhibitors. Hall passes with eight stamps can be exchanged for a free backpack filled with school supplies.</p><p> I am grateful to our sponsors, without whom this rally would not be possible: Comcast, The Abell Foundation, BGE, Wells Fargo, Wal-Mart, Beatty Development Group, LLC, The McDonald’s Family Restaurants of Greater Baltimore, Shop Rite, KRA, State Farm, and The Family League of Baltimore, Inc. Additional support is provided by Baltimore Housing, the Baltimore City Health Department, 92Q, City Schools, Magic 95.9, the Mario Do Right Foundation, Alpha Phi Alpha Fraternity, Inc. Rho Tau Lambda Chapter, Sigma Gamma Rho Sorority, Inc. Alpha Alpha Sigma Chapter, and Alpha Kappa Alpha Sorority, Inc. Rho Xi Omega Chapter.</p><p> The Back-to-School rally will take place Saturday, August 17, from noon to 4:00 pm at War Memorial Plaza, in front of City Hall. Please join us, and make this school year your best year yet!</p>","8/16/2013","Better Schools, Rawlings-Blake Review","Better Schools","The Rawlings-Blake Review"
"Artscape!","<p>Summer in Baltimore means Old Bay crab feasts, refreshing snowballs, rooting for the O’s at Camden Yards, and festivals, festivals, festivals—including Artscape! This weekend’s 32nd annual Artscape, America’s largest free celebration of the visual and performing arts, is expected to (once again) attract more than 350,000 people and generate an economic impact of more than $25 million dollars for Baltimore City.</p><p> This year, Artscape celebrates the visual and performing arts with an international theme that will take you on an arts journey across the world. More than 30 countries will be represented—from Afghanistan to Zimbabwe. The exhibition No Passport Required will present a mile-long mash-up of artists showcasing the festival’s international theme.</p><p> Artscape, also known for its exciting variety of music performances, features concerts on four outdoor stages. The biggest stage, the Wells Fargo Main Stage, welcomes exciting performers like R&B singer KEM on Friday, the Dirty Dozen Brass Band and the North Mississippi All Stars on Saturday, and reggae legends The Wailers on Sunday. The return of Squonk Opera’s Go Roadshow offers a musical spectacular on wheels, and Ten Thousand Brushes & The Baltimore Mural Experience allows festival-goers to participate in the creation of a pop-up mural. The Art Car Show, now celebrating its 20th year at Artscape, will form a fun “used car lot.” And Artscape After Hours will transform Charles Street into an outdoor dance club with DJs, lighting, lasers and special effects.</p><p> But Artscape can’t be limited to just this weekend, or contained within the boundaries of the festival! The M&T Bank Artscape Gallery Network, which began in June and runs through August, showcases artists at two dozen galleries throughout the metro area. And the Artscape in the Neighborhood program shines a spotlight on the many activities taking place in Bolton Hill, Mount Vernon, and the Station North Arts & Entertainment District.</p><p> Now, for the first time, a mobile Artscape app is available for Apple and Android devices. It’s a terrific new way to keep up-to-date with the festival schedule, Artists’ Market participants, food vendors, events, and more.</p><p> Artscape is a unique annual event, the likes of which you can only find in a great American city like Baltimore. It is a time to come together, to see old friends and meet new ones, to greet talented artists (and their creations), and to see the world in a whole new way. Standing among the unique clothing and jewelry, smelling the great food, and hearing the wonderful music, we have an opportunity to renew our love for Baltimore at an exciting time in our history—for the first time in decades, Baltimore is growing again!</p><p> We are reforming government, tearing down more blight than ever before, building new schools and recreation centers, and focusing on lowering crime in our communities—all while reducing property taxes for residents. We are convincing more families to stay, and attracting new families to our great neighborhoods.</p><p> Artscape is one of Baltimore’s most dynamic, exciting, and cherished annual events, and in the coming years, we look forward to introducing new families to this great Baltimore tradition. I hope to see you this weekend at Artscape!</p>","7/19/2013","Stronger Neighborhoods, Rawlings-Blake Review","Stronger Neighborhoods","The Rawlings-Blake Review"
"Safer Streets","<p>Yesterday, I was joined by Commissioner Batts and two of our strong partners—State’s Attorney Gregg Bernstein and U.S. Attorney Rod Rosenstein, who are working with us every day to reduce crime and violence in Baltimore. In order to enhance our efforts, we announced new city funding to hire two assistant state’s attorneys, who will be detailed to the U.S. Attorney’s Office as special assistant U.S. attorneys for the investigation and federal prosecution of violent criminals in designated neighborhoods in East and West Baltimore.</p><p> I strongly believe that one of the reasons Baltimore has made progress over the last decade is because of stronger relationships between all criminal justice partners. Since taking office in 2010, I have made it clear that I will do everything I can to support their efforts, because reducing violence is the number one priority of my administration. And that is what yesterday’s announcement was about—enhancing our partnership as Baltimore’s crime fighters, all working together to get violent offenders and illegal guns off the street.</p><p> No one in our neighborhoods should have to live in fear of gun violence—I just won’t stand for it. We will not be satisfied until Baltimore becomes one of the safest big cities in America and residents feel safe in their neighborhoods and homes.</p><p> By focusing resources on specific, selected areas and individuals, we expect a more direct impact on those neighborhoods that have seen the greatest incidence of violent criminal activity. In addition, federal prosecution provides greater opportunity to obtain significant sentences that will keep these individuals off the street for longer. Finally, defendants will be incarcerated in distant federal prison facilities—separated from their affiliates, and unable to continue their criminal actions from behind bars.</p><p> The new prosecutors will enhance our ability to identify the most dangerous offenders—the worst of the worst—in the neighborhoods that have struggled most with crime, and to prosecute these criminals in the federal system, where the severity of punishment is often greater than in the state system.</p><p> To prosecute violent repeat offenders to the fullest extent of the law, we must utilize all available resources—local, state, and federal. We will stand together to do everything we can to apprehend, prosecute, and convict these offenders.</p>","7/12/2013","Safer Streets, Rawlings-Blake Review","Safer Streets","The Rawlings-Blake Review"
"A Safer City","<p>I have to share with you how angry I am about what has occurred in Baltimore over the past week. We have seen a terrible display of ugly, senseless violence. The cowards that have perpetrated these violent acts are a disgrace to our city, and we will do everything possible to apprehend them and bring them to justice.</p><p> Reducing violence is my number one priority and the number one priority of my administration. Too many of our residents feel unsafe in their neighborhoods—even inside their own homes. This is unacceptable, and I will not tolerate it. We will not be satisfied until Baltimore becomes one of the safest big cities in America and all of our residents feel safe in their neighborhoods.</p><p> I’ve made it clear to Commissioner Batts that he and the men and women of the Baltimore Police Department have my full support, and they will have the resources needed to target repeat violent offenders, gangs, and illegal guns.</p><p> We ask for the community’s increased support and cooperation with the police. It is during these times that the partnership between police and residents is most critical. Our officers must be able to get the information they need to do their jobs, track down suspects, and make our communities safer.</p><p> I want to again emphasize the importance of stopping the flow of illegal guns into America’s cities. There is only one gun store in Baltimore City. It is clear that not enough is being done to disrupt the pipeline of illegal guns into our city.</p><p> At last week’s US Conference of Mayors annual conference, I met with my fellow mayors from across the country, and this issue was front-and-center. It needs to be front-and-center with Congress as well. Vice President Biden assured mayors that the Obama administration is committed to pressing forward. We need commonsense laws—including stronger background checks and federal enforcement—to help crack down on illegal guns. An overwhelming majority of Americans support stronger background checks, and both sides of the aisle must work together on a solution.</p><p> During the course of the next few weeks and beyond , I will continue to visit our officers in police districts to show them that we support the work they are doing and I’ll be visiting neighborhoods across the city to encourage increased cooperation and to build stronger partnerships with the community. Please join our cause to make Baltimore a safer city.</p>","6/28/2013","Safer Streets, Rawlings-Blake Review","Safer Streets","The Rawlings-Blake Review"
"Renovating Firehouses, Training U.S. Soldiers","<p>This week, I was joined by Peter C. Hinz, Assistant Adjutant General of Maryland for the U.S. Army, Maryland National Guard, to celebrate a kitchen renovation project at the Baltimore City Fire Department’s stationhouse for Engine 45. The project, led by members of the Maryland National Guard’s 244th Engineer Company, is the first in a newly developed partnership between the City of Baltimore and the Maryland National Guard.</p><p> Last year, the 244th Engineer Company reached out to my office to identify opportunities for the company to conduct innovative readiness training projects in the city. We identified fire departments with old kitchens in need of remodeling. In some cases, firefighters had stopped cooking in their kitchens due to the poor condition of the stoves and sinks.</p><p> Engine 45, located in Northwest Baltimore on Glenn Avenue, was built in 1951 and was in need of restoration. The 244th Engineer Company gutted the kitchen, cleaned it, painted the ceiling, and installed cabinets, countertops and fixtures. New fixtures include a sink, garbage disposal, stove, range hood, and seven electrical outlets. The materials were provided by the city, and all labor was provided by the National Guard.</p><p> We are grateful to the Maryland National Guard for working with us to find training opportunities for soldiers and to improve the conditions in our aging firehouses. It is a natural partnership for us, because our first responders often train with Guard members to prepare for natural and manmade disasters. This new partnership to renovate firehouses throughout the city will allow firefighters eat home-cooked meals and fully utilize the kitchens and other facilities in their stations.</p><p> The 244th Engineer Company is scheduled to provide construction support in Afghanistan, starting in November 2013. The company expects to be building infrastructure for the Afghan National Army. Their deployment departure ceremony is scheduled for September 28, 2013.</p>","6/21/2013","Innovative Government, Rawlings-Blake Review","Innovative Government","The Rawlings-Blake Review"
"Thanking Our First Responders","<p>On the night of Friday, June 14, Baltimore City police officers responded to an auto accident on I-83, the Jones Falls Expressway. As is common practice, the Department of Transportation also deployed a tow truck to remove the vehicle and ease traffic congestion. This set of events is not out of the ordinary, and is something we do on a routine basis on the JFX. But on Friday, this particular situation escalated, becoming a crisis when a passing driver struck the emergency vehicles on the shoulder, injuring the responding officer, and throwing the tow truck driver over the barrier into the Jones Falls below.</p><p> While emergency units responded to the accident on the highway, quick-thinking police officers responded. They rushed down the embankment and crossed the rushing water to be by the driver’s side. They stabilized him, and waited for the Fire Department to arrive with an extraction team.</p><p> The Fire Department was notified that someone had been thrown off the JFX, and dispatch deployed members of the Special Operations Command to the scene. In 2012, we overhauled the SOC and moved it to a permanent location in Locust Point. This change makes it possible for us to quickly deploy rescue teams anywhere in the city—including to Friday night’s scene below the JFX.</p><p> When the SOC team arrived, police officers had stabilized the driver, but he still needed to be removed from the middle of the rising river. With all the rain we had last week, the river was higher and rougher than usual. SOC team members courageously crossed the rushing water, using an extended ladder as a bridge, and prepared the driver to be transported safely. The tow truck driver was taken to Shock Trauma for treatment and was able to return home that very night.</p><p> This week, we held a special press conference to applaud the bravery and dedication of the first responders involved in last Friday’s rescue. Their heroic efforts helped save a life, and prevented the situation from becoming a tragedy. Take a moment to watch this story from WJZ-TV on their efforts, and join me in thanking our first responders.</p>","6/14/2013","Safer Streets, Rawlings-Blake Review","Safer Streets","The Rawlings-Blake Review"
"7,000 Jobs","<p>Earlier this week, I introduced public infrastructure financing legislation to support Harbor Point, a new $1 billion master-planned, mixed-use community that will support thousands of construction jobs and permanent jobs and generate, on average, $19.6 million in new city tax revenue annually. Harbor Point is currently a largely-vacant 27-acre brownfields site—formerly the location of an Allied Signal chrome processing plant—located between the Fells Point and Harbor East communities.</p><p> Built in phases over 12 years, the project will include an estimated 1.6 million square feet of office space, new residential and retail space, a high-rise hotel, 1.2 million square feet of public parking (including 3,115 new spaces), and five distinct public urban parks. The project will be funded with approximately $920 million of private investment, supported by approximately $106.9 million of city Tax Increment Financing (TIF) bonds to finance public infrastructure, which does not presently exist at Harbor Point. In turn, the project is expected to create numerous benefits for Baltimore.</p><p> The project will bring significant new revenue to Baltimore City. Prior to the commencement of development at Harbor Point, the City has collected only about $244,000 per year in property tax revenue from the site. After development, the City anticipates an average of approximately $19.6 million per year in new tax revenues generated directly by the project. Harbor Point will sustain and grow the city’s tax base through increased property and other related taxes and revenues. The City will also receive profit sharing payments from the developer, subject to the approval of the Board of Estimates.</p><p> The development of Harbor Point will support a significant number of jobs, including an estimated 7,175 construction jobs, 6,611 direct permanent jobs, and 2,547 indirect jobs. The developer, working in conjunction with the Mayor’s Office of Minority and Women-Owned Business Development, is incorporating an inclusion strategy to comply with the City’s Minority and Women’s Business Enterprise program. The developer is also working closely with Baltimore Development Corporation and the Mayor’s Office of Employment Development to develop a local hiring plan to ensure that Baltimore City residents will have maximum opportunity to obtain employment related to the project under the mayor’s Employ Baltimore hiring program.</p><p> The project will include 9.5 acres of new public park land, including a half-mile of new public promenade connecting Fells Point with Harbor East—completing the city’s waterfront promenade system from Canton to Locust Point, and providing enhanced access to the city’s waterfront for all city residents.</p><p> The creation of a vibrant, new neighborhood will make Baltimore a better place to live, work, and play, furthering our goal of attracting 10,000 new families to the City of Baltimore. It is anticipated that the Harbor Point neighborhood will increase the city’s residential population by approximately 2,070 residents—a significant number of whom will be new to the city. In addition, the Harbor Point development project and the TIF will enhance and expand an existing public charter school, the Crossroads School, which will construct new educational facilities, partly as a result of TIF assistance.</p><p> Like the Inner Harbor revitalization effort of 30 years ago, the Harbor Point project represents a once-in-a-generation opportunity to grow Baltimore by attracting new jobs, new residents, new tax revenue, and new public amenities. In total, more than a third of the development will be public park space that all of Baltimore’s residents can enjoy. I look forward to working with the City Council to move this important revitalization effort forward. I’m confident that we will be able to look back at this project together and know that it has made Baltimore better and stronger.</p><p> For more information about Harbor Point, including detailed financial figures and benefits for Baltimore, see our official press release.</p>","6/7/2013","Innovative Government, Growing Economy, Rawlings-Blake Review","Innovative Government, Growing Economy","The Rawlings-Blake Review"
"Creating Local Jobs","<p>This week, I joined representatives from CBAC Gaming, minority and local business leaders, members of the community, and my colleagues in government to break ground for the new Horseshoe Baltimore Casino. It was no small feat to get to this major milestone, and I am thrilled that this critically important project is moving forward.</p><p> On the heels of the worst recession since the Great Depression, when many families are still struggling to find job opportunities, this couldn’t have come at a better time. During construction, the project will support nearly 2,000 direct and indirect construction jobs and $119 million in wages and benefits. Once it’s open, Horseshoe is expected to generate 1,900 direct and indirect permanent jobs with wages and benefits totaling $72 million each year.</p><p> At my direction, the Mayor’s Office of Employment Development has already put in place a local hiring agreement with CBAC Gaming to ensure that more city residents are in line to benefit from job opportunities generated by the new casino. We have also created a new recruitment coordinator position to help identify qualified city residents to apply for positions at the facility.</p><p> The facility will not only be an economic engine in terms of new jobs and tax revenues, it will be an engine that will fuel millions of dollars in new development throughout the area. Building off the strength of Camden Yards, M&T Bank Stadium and downtown Baltimore’s great hotels and restaurants, the Horseshoe Baltimore Casino will transform the gateway into Downtown Baltimore. And funds from the casino—including table game revenues—will be used to help build new schools and recreation centers and to support community grants in South Baltimore and Park Heights.</p><p> Finally, the City’s income from the ground lease supports a 20 cent property tax reduction for city homeowners—a major step forward in our ongoing efforts to provide tax relief to attract and retain residents. Most importantly, Horseshoe has committed to the Employ Baltimore program and will make every effort to employ Baltimore City residents. Make no mistake—the economic impact of this project on the city is historic.</p><p> I am grateful to Caesars Entertainment and to the dozens of local partners who have committed their support to this project.</p>","5/31/2013","Growing Economy, Innovative Government, Rawlings-Blake Review","Growing Economy, Innovative Government","The Rawlings-Blake Review"
