"Question","Text","Link 1 text","Link 1 url","Link 2 text","Link 2 url","Link 3 text","Link 3 url","Main Category","Sub Category","Entity","Tags (optional)","Link 4 text","Link 4 url","Link 5 text","Link 5 url","Internal notes",
"How do I get a Crime Watch sign for my neighborhood?","Contact the Office of Mayor Stephanie Rawlings-Blake on Criminal Justice to inquire about Crime Watch signs. Learn more about Operation Crime Watch on the Four Steps To Fighting Crime web site.","Office of Mayor Stephanie Rawlings-Blake on Criminal Justice","http://mocj.baltimorecity.gov/ContactUs.aspx","Four Steps To Fighting Crime","http://crime.baltimorecity.gov/Home.aspx",,,"Public Safety & Law"," Fire, Police, Emergency Management, Office of Mayor Stephanie Rawlings-Blake of Criminal Justice","Criminal Justice","crime, crime prevention, reduce crime",,,,,,
"How can I locate emergency shelters?","Many City buildings are designated as emergency shelters, but not all will be operating during an emergency. Please tune into the news (WBAL 1090 AM radio is our primary alerting partner) or check our Facebook and Twitter pages to find the closest, open shelter.","Office of Mayor Stephanie Rawlings-Blake of Emergency Management","http://emergency.baltimorecity.gov/","Facebook, Office of Mayor Stephanie Rawlings-Blake of Emergency Management","https://www.facebook.com/BaltimoreOEM","Twitter, Office of Mayor Stephanie Rawlings-Blake of Emergency Management","https://twitter.com/BaltimoreOEM","Public Safety & Law"," Fire, Police, Emergency Management, Office of Mayor Stephanie Rawlings-Blake of Criminal Justice","Emergency Management","evacuation, evacuation shelters","CityView Maps - Emergency Evacuation Routes and Shelters","http://cityview.baltimorecity.gov/maps/map.html?webmap=ba0afd2d413840198e934655eccece82",,,,
"How can I locate evacuation routes?","All major roads exiting Baltimore City can be used as evacuation routes. The City maintains plans to funnel traffic and allow contra-flow traffic to facilitate evacuation on theses routes. During an evacuation, only a limited number of routes will be used based on the incident. Please tune into the news (WBAL 1090 AM radio is our primary alerting partner) or check our Facebook and Twitter pages to find which evacuation route to use.","Office of Mayor Stephanie Rawlings-Blake of Emergency Management","http://emergency.baltimorecity.gov/","Facebook, Office of Mayor Stephanie Rawlings-Blake of Emergency Management","https://www.facebook.com/BaltimoreOEM","Twitter, Office of Mayor Stephanie Rawlings-Blake of Emergency Management","https://twitter.com/BaltimoreOEM","Public Safety & Law"," Fire, Police, Emergency Management, Office of Mayor Stephanie Rawlings-Blake of Criminal Justice","Emergency Management","evacuation","CityView Maps - Emergency Evacuation Routes and Shelters","http://cityview.baltimorecity.gov/maps/map.html?webmap=ba0afd2d413840198e934655eccece82",,,,
"How can I sign up for emergency notifications?","Connect with the Office of Mayor Stephanie Rawlings-Blake of Emergency Management and get alerts via Facebook, Twitter, eMail and SMS.","Office of Mayor Stephanie Rawlings-Blake of Emergency Management","http://emergency.baltimorecity.gov/","Facebook, Office of Mayor Stephanie Rawlings-Blake of Emergency Management","https://www.facebook.com/BaltimoreOEM","Twitter, Office of Mayor Stephanie Rawlings-Blake of Emergency Management","https://twitter.com/BaltimoreOEM","Public Safety & Law"," Fire, Police, Emergency Management, Office of Mayor Stephanie Rawlings-Blake of Criminal Justice","Emergency Management","emergency alerts",,,,,,
"How can I get involved in emergency preparedness?","Learn about emergency preparedness and Community Emergency Response Teams (CERTs) on the Office of Mayor Stephanie Rawlings-Blake of Emergency Management web site. You can also call 410-396-6188 or e-mail cert@baltimorecity.gov.","Office of Mayor Stephanie Rawlings-Blake of Emergency Management","http://emergency.baltimorecity.gov/Preparedness/ForCitizens/GetInvolved.aspx",,,,,"Public Safety & Law"," Fire, Police, Emergency Management, Office of Mayor Stephanie Rawlings-Blake of Criminal Justice","Emergency Management","CERT, prepare for emergencies",,,,,,
"How can I request a ceremonial document?","You can request a Mayoral Citation or Mayoral Proclamation by calling the Mayor's Constituent Call Center at 410-396-4900 or by submitting a Citation & Proclamation Request form that is available online.","Mayoral Citation & Proclamation Request Form","http://www.baltimorecity.gov/Portals/0/mayor/public%20downloads/Citation_Request_Form.pdf","Contact the Mayor","http://www.baltimorecity.gov/OfficeoftheMayor/ContactTheMayor.aspx",,,"Government & Civil Services","Mayor and City Council, Boards & Commissions","Mayor's Office","proclamation, certficate of recognition",,,,,,
"Where can I find information about City services?","Contact the City's One Call Center by dialing 311 or visit the online Baltimore City Services Directory.","Baltimore City Services Directory","http://www.baltimorecity.gov/OfficeoftheMayor/ContactTheMayor.aspx",,,,,"Government & Civil Services","City Agencies, Data, APIs, Employment, Education","Information Technology",,,,,,,
"Who can I contact if I am having an issue with my landlord or an issue with my tenant?","Whether you are a tenant or a landlord, when you sign a lease agreement, you sign a contract. You are contractually obligated to perform certain duties and assume certain responsibilities. You are also granted certain rights and protections under the lease agreement. Contact Baltimore Neighborhoods, Inc at 1-800-487-6007. They can help you understand these rights and protections.<br/>","Baltimore Neighborhoods, Inc.","www.bni-maryland.org",,,,,"Property, Buildings, Housing, Development","Occupancy, Neighborhoods, Noise Rules, Noise Complaints","Office of Mayor Stephanie Rawlings-Blake","tenant, landlord",,,,,,
"Where can I find information about public housing?"," Visit the Baltimore Housing web site for more information.","Baltimore Housing - Public Housing","http://www.baltimorehousing.org/public_housing.asp",,,,,"Social & Civic Services","Housing Assistance, Public Housing, Civil Marriage",,,,,,,,
"How can I find emergency housing?","If you need assistance dial 211. 2-1-1 Maryland connects you to health and human service resources in your community 24 hours a day, 7 days a week in over 180 languages. 2-1-1 is also accessible for the deaf and hard of hearing through Maryland Relay (dial 711.) ","2-1-1 Maryland","http://www.211md.org/","Maryland Relay","http://doit.maryland.gov/mdrelay/Pages/home.aspx",,,"Social & Civic Services","Housing Assistance, Public Housing, Civil Marriage",,"homeless, homeless shelters, health services",,,,,,
"Who do I complain to about trash in my community?","Call 311 or go to 311 Online to report issues or problems like illegal dumping, no trash collection, no recycling collection.","311 Online","https://baltimore.customerservicerequest.org/web_intake_balt/Home.mvc/Index",,,,,"Trash, Recycling, Water, Environment","Water, Wastewater, Sewage, Trash Collection, Recycling",,"trash, dumping",,,,,,
"Who do I call for problems or questions about my water bill?","Call DPW Customer Support and Services at 410-396-5398. You can also visit our web site and select the ""Customer Care"" tab at the top of the page for helpful information about water and wastewater billing.","Clean Water Baltimore  ","http://www.cleanwaterbaltimore.org/",,,,,"Trash, Recycling, Water, Environment","Water, Wastewater, Sewage, Trash Collection, Recycling","Public Works","water billing",,,,,,
"Who do I contact when my trash or recycling collection has been missed?","Call 311 or go to 311 Online as soon as you know it has been missed so it can be collected.","311 Online","https://baltimore.customerservicerequest.org/web_intake_balt/Home.mvc/Index",,,,,"Trash, Recycling, Water, Environment","Water, Wastewater, Sewage, Trash Collection, Recycling","Public Works",,,,,,,
"When will the water main break be fixed?","DPW crews work 24 hours a day to ensure that water service reaches your home or business. When water main breaks occur, repair times vary depending on the underground infrastructure. Information about water main breaks that affect a large number of customers will be posted on our Twitter and Facebook pages.","DPW Twitter","https://twitter.com/BaltimoreDPW","DPW Facebook","https://www.facebook.com/BaltimoreCityDepartmentofPublicWorks",,,"Trash, Recycling, Water, Environment","Water, Wastewater, Sewage, Trash Collection, Recycling","Public Works",,,,,,,
"Where can I find my nearest drop-off center?","Call 311 or see the list of Citizen Drop-off Centers on our Recycling web page.","DPW Citizen Drop-off Centers","http://publicworks.baltimorecity.gov/Recycling/CitizenDrop-OffCenters.aspx",,,,,"Trash, Recycling, Water, Environment","Water, Wastewater, Sewage, Trash Collection, Recycling","Public Works","recycling center",,,,,,
"Where can I find information about DPW events?","Call 311 or follow us on Facebook or Twitter. You can also call the DPW Communications and Community Affairs office at 410-545-6541.","DPW Facebook","https://www.facebook.com/BaltimoreCityDepartmentofPublicWorks","DPW Twitter","https://twitter.com/BaltimoreDPW",,,"Government & Civil Services","City Agencies, Data, APIs, Employment, Education","Public Works",,,,,,,
"How do I request City services?","Call 311, the City's One Call Center, or go to 311 Online to request service. A Directory of City Services is available online.","311 Online","https://baltimore.customerservicerequest.org/web_intake_balt/Home.mvc/Index","Baltimore City Services Directory","http://www.baltimorecity.gov/OfficeoftheMayor/ContactTheMayor.aspx",,,"Government & Civil Services","City Agencies, Data, APIs, Employment, Education",311,,,,,,,
"How can I contact my elected official?","A list of elected officials and their contact information is available online.","Elections Board / Elected Officials","http://www.baltimorecity.gov/Government/BoardsandCommissions/ElectionsBoard/ElectedOfficials.aspx","Look Up Elected Officials","http://mdelect.net/",,,"Government & Civil Services","Mayor and City Council, Boards & Commissions",,,,,,,,
"How do I get a permit?","Licensing and Permitting can be a challenging task. The Baltimore City Licenses and Permits Directory is a central location for citywide licenses, permits and applications to help make this task easier for you.","Licensing and Permits Directory","http://permits.baltimorecity.gov/",,,,,"Government & Civil Services","Permits, Licenses, Codes",,"Valet Parking, Business Permit, Wastewater Discharge Permit, Waste Hauling, Swimming Pool,Tatoo, Daycare, Foster Care, Street Vendor Application, Special Events, Recreation and Park Permits, Residential Parking Permits, Minor Privilege Permit, Liquor License Permit, Handicap Parking Permit, General Services Permits, Food Permits, Building Permits, Animal Permits, Boat Permits, Use and Occupany Permits",,,,,,
"What should I do if I am unable to attend Court on the date that was assigned to me?","For Parking Citations, you can send a written request to Patapsco District Court, 700 East Patapsco Avenue, Baltimore, MD. 21225. Include in your response a brief explanation as to why you are unable to attend on the assigned date, your name, citation number, and tag number. If you would like to discuss this with District Court, contact them at 410-878-8300. For Red Light Camera Citations, you can send a written request to Wabash District Court, 5800 Wabash Avenue, Baltimore, MD. 21215. Include in your response a brief explanation as to why you are unable to attend on the assigned date, your name, citation number, and tag number. If you would like to discuss this with District Court, contact them at 410-878-8000.","District Court House","http://www.courts.state.md.us/courtsdirectory/baltimorecity.html",,,,,"Public Safety & Law","District Court, Circuit Court, State's Attorney, Sherrif's Department",,,,,,,,
"I have no water in my home/business. What should I do?","Chances are that there may be a service interruption caused by a break on a main or on the water service line on your property. Baltimore City customers can call 311 and Baltimore County customers can call 410-396-5352 for information and assistance. Always keep bottled water on hand for such emergencies.","Baltimore 311","https://baltimore.customerservicerequest.org/web_intake_balt/Home.mvc/Index",,,,,"Trash, Recycling, Water, Environment","Water, Wastewater, Sewage, Trash Collection, Recycling","Public Works",,,,,,,
"How is our water tested?","On average, the City’s Water Quality Laboratory receives about 300 drinking water quality complaints each year. Our staff has been very diligent and successful in meeting the City’s goal of quickly addressing concerns through not only a comprehensive testing program but also by either initiating or suggesting remedial action for complaint resolution.","Bureau of Water and Wastewater","http://publicworks.baltimorecity.gov/Bureaus/WaterWastewater.aspx",,,,,"Trash, Recycling, Water, Environment","Water, Wastewater, Sewage, Trash Collection, Recycling","Public Works",,,,,,,
"What is causing my water to have an odd taste/odor?","Over the years, numerous cases of off-taste complaints have been resolved favorably when customers have been advised to disconnect out-door garden hoses. Often these hoses, with nozzles attached, can be found in a collapsed condition. It appears that in these cases, the rubber-like or plastic-tasting water that had been in the hose could, under the right conditions, be pulled back into homes by partial vacuum pressure. Additionally some customers can detect a slight taste and odor difference in times of drought when water is processed from the Susquehanna. This does not impact the overall quality of the water.","Bureau of Water and Wastewater","http://publicworks.baltimorecity.gov/Bureaus/WaterWastewater.aspx",,,,,"Trash, Recycling, Water, Environment","Water, Wastewater, Sewage, Trash Collection, Recycling","Public Works",,,,,,,
"How can I get a tree planted in front of my house?","Complete the Tree Planting Request form(PDF File) and mail it to the Forestry Division.","Tree Planting Request Form","http://bcrp.baltimorecity.gov/Portals/Parks/documents/applications%20and%20plans/Tree%20Planting%20Request%20Form.pdf",,,,,"Trash, Recycling, Water, Environment","Tree Planting, Pruning, Tree Removal","Recreation and Parks",,,,,,,
"Who should I call if my tree needs pruning?","Contact 311 to report a tree that needs pruning. Trees, unlike shrubs, only need to be pruned every five to seven years. Topping is very unhealthy for a tree. Pruning of city trees is usually done in order to elevate it high enough so that people can walk on the sidewalk. It is elevated so that trucks will not damage them. We also prune away from lights and stop signs. It’s a benefit to the homeowner when trees grow over their house because it will contribute to lower utility bills.","Baltimore 311","https://baltimore.customerservicerequest.org/web_intake_balt/Home.mvc/Index",,,,,"Trash, Recycling, Water, Environment","Tree Planting, Pruning,  Tree Removal","Recreation and Parks",,,,,,,
"Who maintains the City's street trees?","Baltimore City Department of Recreation and Parks’ Forestry Division maintains the city’s street trees with four in-house crews and nine contract crews. There are approximately 200,000 street trees in Baltimore City. Regular maintenance includes pruning, watering, mulching and removal when a tree is dead. Citizens can assist with this effort by watering and mulching the trees in front of their houses. This will enable the Forestry Division to focus more on trees in the medians and commercial areas of the city.","Forestry Division","http://bcrp.baltimorecity.gov/ForestryTreeServices.aspx",,,,,"Trash, Recycling, Water, Environment","Tree Planting, Pruning,Tree Removal","Recreation and Parks",,,,,,,
"What can we do about a sidewalk that's uplifted by a tree?","Contact 311 and request that the Footways Division come out and repair the sidewalk. We will NOT remove a tree because it conflicts with a sidewalk. The city of Baltimore has invested much time and energy into allowing a tree to grow to full maturity. Large trees provide many benefits to the citizens of Baltimore. Some examples of these benefits are absorbing storm water, cleaning the air of pollutants, shading the streets, providing a buffer to cars, increasing real estate values and lowering utility bills. There are many new approaches to incorporating large trees with pedestrian walkways and they still provide a safe experience.",,,,,,,"Trash, Recycling, Water, Environment","Tree Planting, Pruning, Tree Removal","General Services",,,,,,,
"Where is the Baltimore City Transfer Tax located?","The Municipal Building, Transfer Tax Unit, Room 1, Suite 1B, 200 Holliday Street, Baltimore, Maryland 21202","Revenue Collection Bureau","http://finance.baltimorecity.gov/BureausandOffices/RevenueCollections.aspx",,,,,"Business & Finance","Business License & Tax, Land Use, Code","Finance",,,,,,,
"What is recordation tax?","The Recordation Tax is an excise tax that was previously imposed by the State for the privilege of recording an instrument in the Land Records. Although imposed by the State, the recordation tax, to the extent collected by each clerk or city fiscal office, goes to such city’s treasury.","Revenue Collection Bureau","http://finance.baltimorecity.gov/BureausandOffices/RevenueCollections.aspx",,,,,"Business & Finance","Business License & Tax, Land Use, Code","Finance",,,,,,,
"Where do I send a payment for a delinquent bill shown on the Final Bill and Legal Notice?","Checks/money orders for payment of delinquent bills should be made payable to “Director of Finance” and mailed in the envelope provided with the Final Bill or addressed to: Abel Wolman Municipal Building, Bureau of Revenue Collections, 200 Holliday Street, Baltimore, Maryland 21202","Revenue Collection Bureau","http://finance.baltimorecity.gov/BureausandOffices/RevenueCollections.aspx",,,,,"Business & Finance","Business License & Tax, Land Use, Code","Finance",,,,,,,
"How do I apply for positions in the Baltimore City Public School System?","Contact the Baltimore City Public Schools System Recruitment Office at 200 E. North Avenue, Room 110, Baltimore, MD 21201, (410)396-8885 to obtain information.","Baltimore City Schools","www.baltimorecityschools.org",,,,,"Government & Civil Services","City Agencies, Data, APIs, Employment, Education",,,,,,,,
"I am interested in becoming a Baltimore City Police Officer? How do I apply?","To apply for uniform positions within the Baltimore City Police Department contact the Police Department Recruitment Office at (410) 396-2340, (877) PRIDEPD (777-9979)","Baltimore Police Department","www.baltimorepolice.org",,,,,"Government & Civil Services","City Agencies, Data, APIs, Employment, Education","Police Department",,,,,,,
"I received notification from MVA informing me that I could not renew my registration because my tags were flagged by Baltimore city parking. What does this mean?","If a parking citation is not paid within 55 days of receiving your ticket it becomes delinquent and the City notifies MVA. MVA places a “flag” on your registration. Prior to being able to renew your vehicle registration you will need to satisfy all parking fines with the City.","Parking Fines","http://finance.baltimorecity.gov/BureausandOffices/RevenueCollections/ParkingFinesListing.aspx",,,,,"Public Safety & Law","Parking/Traffic Tickets","Finance",,,,,,,
"Can I make payment arrangements to pay my water bill?","If the customer has breached a prior water payment agreement, full payment is due and no new agreement can be made. If no prior breach, the property is located in Baltimore County, and the bill is over $499, the customer must contact the Law Department at 410-396-3968 to make a payment agreement. If no prior breach, the customer must make a down payment in the amount of 50% of the balance. If there has been a prior breach, the customer is not eligible for future water payment agreements.","Baltimore City Law Department","http://www.baltimorecity.gov/Government/AgenciesDepartments/Law.aspx",,,,,"Trash, Recycling, Water, Environment","Water, Wastewater, Sewage, Trash Collection, Recycling","Finance",,,,,,,
"Can someone tell me why my water bill is so high?","The customer should contact Utility Billing at (410) 396-5398.","Water Bill Look Up","http://cityservices.baltimorecity.gov/water/",,,,,"Trash, Recycling, Water, Environment","Water, Wastewater, Sewage, Trash Collection, Recycling","Public Works",,,,,,,
"Are there senior discounts for water billing?","Yes, please contact Utility billing at (410) 396-5398",,,,,,,"Trash, Recycling, Water, Environment","Water, Wastewater, Sewage, Trash Collection, Recycling","Public Works",,,,,,,
"Does the City offer discounts if I pay my property taxes early?","Yes, there is a 0.5% discount of the City Tax if the bill is paid by July 31.","Real Property Search","http://cityservices.baltimorecity.gov/realproperty/",,,,,"Property, Buildings, Housing, Development","Utilities, Housing, Property Tax, Buy City-Owned Property, Donate Property","Finance",,,,,,,
"What are my options if I cannot afford to pay my property tax bill?","The City does not enter into payment agreements for real estate taxes. The City accepts partial payments that will be credited to your tax bill, but your bill must be paid in full before December 31 of the year the bill was issued. If your bill is not paid in full, your property is at risk for inclusion in the tax sale in May of the following year.","City Tax Sale","www.bidbaltimore.com",,,,,"Property, Buildings, Housing, Development","Utilities, Housing, Property Tax, Buy City-Owned Property, Donate Property","Finance",,,,,,,
"What do I do if I overpaid my property taxes by accident?","Send a written request to the Revenue Accounting Section, 200 Holliday Street, Room 3, Baltimore, MD 21202. Make sure to include on your request your account number, proof of payment, and if you prefer to receive a refund check or would like the funds transferred to another account. If you would like the funds transferred to another account, make sure to include the type of account and account number where the funds are to be directed.","Real Property Search","http://cityservices.baltimorecity.gov/realproperty/",,,,,"Property, Buildings, Housing, Development","Utilities, Housing, Property Tax, Buy City-Owned Property, Donate Property","Finance",,,,,,,
"What property assistance or incentives are available to first time home buyers?","The City does not offer any tax incentives specifically for first time home buyers but a comprehensive list of all City property tax credits can be found on the tax credit section A valuable resource for new buyers in Baltimore is the Live Baltimore Home Center located at 343 N. Charles","Incentives","http://www.vacantstovalue.org/Incentives.aspx",,,,,"Property, Buildings, Housing, Development","Utilities, Housing, Property Tax, Buy City-Owned Property, Donate Property","Baltimore Housing",,,,,,,
"Where do I take care of Vehicle Emissions Inspection Program (VEIP) issues?","VEIP is a State program","VEIP","http://www.mva.maryland.gov/vehicles/veip/",,,,,"Trash, Recycling, Water, Environment","Home, Food and Water safety, Public Health, Air Quality",,,,,,,,
"What is the homestead tax credit?","The homestead tax credit program was designed to limit the amount of the annual increase in taxable assessments for eligible owner occupied properties. The program dates back to the late 1970’s, a period of rapid escalation in property values. State law requires each Maryland local government to establish a limit on how much owner occupied residential taxable assessments may increase each year. The program protects homeowners from increases in taxable assessment above the level established by local law, or 10%, if no local action is taken. In the early 1990’s, the City established the annual cap at 4% and it continues to be set at 4% today. The credit is applied against the taxes due on the portion of the reassessment exceeding the 4% homestead cap. The credit is applied directly to the property owner’s tax bill.","Baltimore City Tax Credits","http://finance.baltimorecity.gov/PublicInformation/TaxCredits.aspx","Tax Credit Application","https://cityservices.baltimorecity.gov/PropertyTaxCredits/Account/Login.aspx?ReturnUrl=%2fPropertyTaxCredits",,,"Property, Buildings, Housing, Development","Utilities, Housing, Property Tax, Buy City-Owned Property, Donate Property","Finance",,,,,,,
"How do I change my mailing address for my real property tax bills and any other bills?","You should send a written request to the City’s Department of General Services Property Location Section, 200 Holliday Street Room 204, Baltimore, MD 21202 or fax to 410-576-8310. Be sure to include the address or block & lot of the property in question, new mailing address, the effective date, and the signature of the property owner. To contact the Property Location Section, you may call them at 410-396-3800.","Department of General Services","http://www.baltimorecity.gov/Government/AgenciesDepartments/GeneralServices.aspx",,,,,"Property, Buildings, Housing, Development","Utilities, Housing, Property Tax, Buy City-Owned Property, Donate Property","Finance",,,,,,,
"How can I get a copy of the deed to my property?","The Liber and Folio numbers are needed to look up your deed. These numbers can be obtained from the Baltimore City’s Property Location Office, First floor, Abel Wolman Municipal Building, 200 N. Holliday Street, Baltimore, Maryland, 21202, Next, you must visit the Baltimore City Land Records Office at the Clarence M. Mitchell Courthouse, 6th floor, 110 N. Calvert Street, Baltimore, Maryland 21202. Phone: 410-333-3760 to obtain a copy of your deed. Phone: 410-3633.",,,,,,,"Property, Buildings, Housing, Development","Utilities, Housing, Property Tax, Buy City-Owned Property, Donate Property","Comptroller, Department of Real Estate",,,,,,,
"Whom should I contact if I want to donate property to Baltimore City?","Contact the Baltimore City Department of Housing and Community Development (HCD) to determine if the agency is interested in acquiring the property for one of its community development projects. The number is 410-396-4121. If the property does not fall within one of HCD’s targeted development areas, there are a number of non-profit organizations that might be interested in acquiring the property.","Housing and Community Development","http://www.dhcd.maryland.gov/Website/Default.aspx",,,,,"Property, Buildings, Housing, Development","Utilities, Housing, Property Tax, Buy City-Owned Property, Donate Property","Comptroller, Department of Real Estate",,,,,,,
